idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
82.0,0.4809196714552079,8.27760194461408,16.2676830473263,4.03339625887459,52.5,51.3,371.0,0.55,2.95813354797408,2.93305677144475,3.0055249241937703,0.0,5.0
130.0,0.386907300490194,8.49312131380432,15.1294385046961,3.88975861847461,55.0,53.87,355.0,0.48,2.98153090117702,2.63718706564656,2.67272817512249,0.0,6.0
17.0,0.304501788369536,8.24604732330401,16.1175164573102,4.01941170156215,45.0,44.04,307.0,0.29,2.08617924324779,1.8796443418533,2.0024199893666004,0.0,4.0
142.0,0.558169944207374,8.87118050444194,13.836776706519101,3.719961294845509,57.5,56.65,343.0,0.38,2.40271715429337,2.36653371337825,2.43321462231604,0.0,5.0
197.0,0.150312488874896,7.74703194680689,9.7006419541529,3.1156954329982502,57.5,57.06,210.0,0.11,1.1916496628646,1.1991974318922198,1.20890781081067,0.0,1.0
163.0,0.367611094576011,8.1583059292989,10.263024168402302,3.20865598775504,55.0,54.51,228.0,0.13,1.29657013987434,1.30555954596775,1.3146223090918,0.0,1.0
84.0,0.3786296487574321,8.80448218816797,13.0943191320927,3.61977897023943,50.0,49.14,315.0,0.33,2.23879283358502,1.98648106083662,2.00276553347061,0.0,6.0
57.0,0.42854030868118703,8.16407214345953,16.3103127915764,4.03975634626483,50.0,48.81,371.0,0.56,2.95230488486705,2.9525442363956804,3.01880737970653,0.0,2.0
41.0,0.4805602905777941,8.0339349074443,17.682957651183397,4.20990227734954,52.5,51.35,326.0,0.42,2.86067147339834,2.1986406020971496,2.11778900886367,0.0,7.0
153.0,0.324661371839702,8.866972192262109,14.3106976529064,3.7830438954178898,57.5,56.69,344.0,0.39,2.40755332989648,2.38495829062931,2.4548814739035096,0.0,2.0
14.0,0.43497138260213897,8.34008118730999,14.5554779045574,3.81747952944572,45.0,44.08,342.0,0.43,2.38760976217588,2.38457450324621,2.45849402021576,0.0,2.0
143.0,0.31211776605395897,9.09444199435862,12.7503477668334,3.5716834528446,55.0,54.15,319.0,0.33,2.30350875100993,2.04380718556892,2.04678407695411,0.0,6.0
50.0,0.353687205549205,8.23383994037237,15.177414696714699,3.89672965382544,52.5,51.53,292.0,0.31,2.3650576998377297,1.85611627099662,1.7156066985450802,0.0,7.0
128.0,0.26929871296231306,7.92640196360114,13.394832504113,3.66385126720548,52.5,51.91,284.0,0.23,1.68427780459396,1.69205167435461,1.71128651055698,0.0,1.0
120.0,0.108196880526464,9.06409849085269,9.84977869982092,3.1392340178173,52.5,51.79,269.0,0.22,1.7465247366975,1.56145100188055,1.5371680384018,0.0,6.0
73.0,0.303826942946967,9.151693682652098,10.2629098479821,3.2052728576866096,50.0,49.41,274.0,0.22,1.63792564755824,1.6286108457475,1.64221341738076,0.0,5.0
136.0,0.349277948277311,8.46211954118202,15.8293995864063,3.97956669051605,57.5,56.3,370.0,0.5,2.9914027925310296,2.84509281182036,3.01227209029035,0.0,3.0
90.0,0.466274465292792,8.38386865479329,14.926995728927901,3.86358863728394,52.5,51.57,348.0,0.43,2.48088033893388,2.44966105735032,2.52373861909604,0.0,5.0
236.0,0.120486409018247,7.5753362430234015,9.32992181091223,3.0553224413811,60.0,59.42,292.0,0.21,1.7458394346212,1.7326828759061,1.7680164980321398,0.0,1.0
164.0,0.240350968420064,8.77291386852206,13.511857684944301,3.67581156303577,57.5,56.58,337.0,0.38,2.56790875163646,2.27304049573672,2.297179255968,0.0,6.0
149.0,0.215722982039942,9.33893602570888,10.6152265178715,3.2595385218261,55.0,54.27,284.0,0.24,1.89635543856503,1.68554345477272,1.6600078594836,0.0,6.0
144.0,0.24024505336284696,7.50498116463892,18.1595573746876,4.26172149225002,55.0,54.11,354.0,0.43,2.5407000972987004,2.53766940698269,2.6201746516476803,0.0,1.0
63.0,-0.0664786520212949,8.99742771438092,8.69691755111415,2.94902469708317,47.5,46.85,246.0,0.18,1.6121971578885002,1.45287690651601,1.4185175830825298,0.0,6.0
147.0,0.5338082800645549,8.80023976289096,15.3811685100082,3.92523771225963,57.5,56.57,359.0,0.45,2.66883255763162,2.6480325832717697,2.7396024057098,0.0,2.0
